epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.902,1.48248,1.81033,1.28607,0.80461,0.71753,0.79858,0.46335,1.45379,1.01626,1.26626,0.00332995,0.00332995,0.00332995
2,366.829,1.45908,1.19426,1.2885,0.76174,0.69208,0.76998,0.41803,1.54877,1.14715,1.34165,0.00653135,0.00653135,0.00653135
3,543.941,1.55719,1.33089,1.34983,0.76798,0.59135,0.68755,0.36369,1.62088,1.39831,1.40373,0.00960075,0.00960075,0.00960075
4,719.229,1.59984,1.40074,1.39271,0.77383,0.66462,0.7548,0.39988,1.57954,1.20399,1.39713,0.009406,0.009406,0.009406
5,897.646,1.54763,1.28501,1.36613,0.77109,0.72885,0.77477,0.43202,1.50214,1.13019,1.34492,0.009208,0.009208,0.009208
6,1074.57,1.4981,1.18016,1.33504,0.83588,0.77059,0.8369,0.48185,1.40919,0.97653,1.29072,0.00901,0.00901,0.00901
7,1249.5,1.4585,1.12059,1.31385,0.8572,0.7723,0.86079,0.50105,1.41117,0.91307,1.29464,0.008812,0.008812,0.008812
8,1424.21,1.42557,1.0562,1.29243,0.86911,0.82919,0.88548,0.52245,1.37107,0.8691,1.25161,0.008614,0.008614,0.008614
9,1599.33,1.40485,1.01249,1.28189,0.88737,0.84861,0.89774,0.53766,1.34221,0.82748,1.23671,0.008416,0.008416,0.008416
10,1773.07,1.38964,0.99104,1.27283,0.89404,0.86331,0.90267,0.54774,1.32278,0.79102,1.22795,0.008218,0.008218,0.008218
11,1948.58,1.36319,0.94752,1.25305,0.88652,0.85115,0.91205,0.56383,1.31019,0.7598,1.22075,0.00802,0.00802,0.00802
12,2123.46,1.3401,0.91561,1.24868,0.90349,0.8668,0.92327,0.58146,1.28851,0.72634,1.20344,0.007822,0.007822,0.007822
13,2298.09,1.3292,0.89998,1.23472,0.91034,0.88648,0.92582,0.58187,1.27763,0.69896,1.20295,0.007624,0.007624,0.007624
14,2473.65,1.3134,0.86962,1.22217,0.90899,0.89566,0.93653,0.59466,1.23721,0.68068,1.17681,0.007426,0.007426,0.007426
