epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.366,1.4642,1.88706,1.33343,0.82288,0.72997,0.8173,0.45297,1.49438,1.01221,1.36068,0.00332995,0.00332995,0.00332995
2,517.688,1.51614,1.27405,1.37244,0.71656,0.6162,0.67679,0.36038,1.61384,1.38816,1.42696,0.00653135,0.00653135,0.00653135
3,775.457,1.61655,1.47257,1.44726,0.64891,0.59616,0.62892,0.32072,1.67923,1.55765,1.48032,0.00960075,0.00960075,0.00960075
4,1019.15,1.63468,1.51092,1.47735,0.76199,0.67127,0.73445,0.39885,1.57963,1.22306,1.47287,0.009406,0.009406,0.009406
5,1277.25,1.56835,1.34551,1.44451,0.79948,0.73784,0.80324,0.45544,1.47943,1.05546,1.38584,0.009208,0.009208,0.009208
6,1534.9,1.51679,1.22639,1.4113,0.81803,0.74633,0.80669,0.46366,1.46279,0.99771,1.37904,0.00901,0.00901,0.00901
7,1789.76,1.47195,1.15729,1.39189,0.8586,0.77086,0.84076,0.48192,1.4655,0.93071,1.38079,0.008812,0.008812,0.008812
8,2033.4,1.44279,1.0896,1.3691,0.87691,0.80999,0.87037,0.50783,1.40947,0.874,1.35174,0.008614,0.008614,0.008614
9,2279.36,1.42137,1.04059,1.36065,0.8827,0.82346,0.88445,0.53027,1.38289,0.84768,1.32687,0.008416,0.008416,0.008416
10,2524.64,1.40614,1.01039,1.35372,0.89105,0.8283,0.89161,0.53825,1.34615,0.81113,1.30341,0.008218,0.008218,0.008218
11,2770.86,1.37738,0.976,1.33187,0.90003,0.86428,0.90958,0.56036,1.30318,0.77739,1.2793,0.00802,0.00802,0.00802
12,3016.73,1.35827,0.93546,1.32349,0.91431,0.85065,0.91595,0.56954,1.31715,0.75446,1.28063,0.007822,0.007822,0.007822
13,3257.95,1.34508,0.91852,1.31172,0.89925,0.87719,0.9106,0.56338,1.29579,0.72169,1.27682,0.007624,0.007624,0.007624
14,3500.98,1.32503,0.8939,1.30135,0.91611,0.86667,0.92405,0.58642,1.25925,0.70035,1.24851,0.007426,0.007426,0.007426
15,3751.46,1.31274,0.87693,1.29868,0.9082,0.88314,0.92872,0.59379,1.24602,0.6903,1.2389,0.007228,0.007228,0.007228
16,3994.4,1.30937,0.84861,1.29158,0.91358,0.90107,0.93375,0.59484,1.24956,0.65415,1.24074,0.00703,0.00703,0.00703
17,4237.49,1.29194,0.83998,1.27976,0.92055,0.89488,0.93269,0.60075,1.23629,0.64742,1.23254,0.006832,0.006832,0.006832
18,4480.6,1.27856,0.80972,1.26774,0.92052,0.90985,0.94249,0.61306,1.21902,0.62542,1.21464,0.006634,0.006634,0.006634
19,4722.78,1.27748,0.80478,1.26747,0.92452,0.91207,0.94449,0.61676,1.22029,0.61549,1.21762,0.006436,0.006436,0.006436
20,4965.17,1.26606,0.79125,1.26112,0.93164,0.90816,0.94545,0.62143,1.20801,0.59946,1.20302,0.006238,0.006238,0.006238
21,5206.77,1.25153,0.79317,1.25704,0.93969,0.91157,0.95063,0.62657,1.18858,0.59853,1.19895,0.00604,0.00604,0.00604
